timestamp,ThinFlim_high,ThinFlim_low,ThinFlim_mean,Mono PERC_high,Mono PERC_low,Mono PERC_mean,Mono PERC (China)_high,Mono PERC (China)_low,Mono PERC (China)_mean,Mono_high,Mono_low,Mono_mean,Poly High Efficiency_high,Poly High Efficiency_low,Poly High Efficiency_mean,Poly (China)_high,Poly (China)_low,Poly (China)_mean,Poly_high,Poly_low,Poly_mean
2009-06-25 11:06:59,1.2,1.0,1.04,,,,,,,,,,,,,,,,2.2,1.75,1.89
2009-08-17 12:30:20,1.35,1.2,1.25,,,,,,,,,,,,,,,,2.25,1.9,2.01
2009-08-18 18:04:59,1.35,1.2,1.25,,,,,,,,,,,,,,,,2.25,1.9,2.01
2009-09-26 04:59:46,1.5,1.2,1.29,,,,,,,,,,,,,,,,2.2,1.9,1.96
2010-03-05 18:59:36,1.6,1.4,1.47,,,,,,,,,,,,,,,,2.05,1.75,1.83
2010-04-01 22:41:16,1.55,1.25,1.33,,,,,,,,,,,,,,,,2.0,1.7,1.77
2010-05-03 12:22:49,1.55,1.25,1.34,,,,,,,,,,,,,,,,2.0,1.7,1.78
2010-06-04 02:54:20,1.55,1.25,1.32,,,,,,,,,,,,,,,,1.95,1.65,1.74
2010-06-18 22:23:51,1.55,1.25,1.31,,,,,,,,,,,,,,,,1.95,1.65,1.73
2010-07-04 08:22:40,1.55,1.25,1.31,,,,,,,,,,,,,,,,1.95,1.65,1.73
2010-07-30 01:17:58,1.5,1.25,1.3,,,,,,,,,,,,,,,,1.9,1.65,1.7
2010-08-04 05:45:12,1.5,1.25,1.3,,,,,,,,,,,,,,,,1.9,1.65,1.7
2010-08-30 04:41:38,1.5,1.25,1.31,,,,,,,,,,,,,,,,1.9,1.64,1.7
2010-09-06 03:19:36,1.5,1.25,1.31,,,,,,,,,,,,,,,,1.9,1.65,1.7
2010-10-02 18:44:13,1.5,1.25,1.31,,,,,,,,,,,,,,,,1.85,1.65,1.69
2010-10-08 02:17:43,1.5,1.25,1.308,,,,,,,,,,,,,,,,1.84,1.65,1.688
2010-11-12 15:27:54,1.55,1.3,1.37,,,,,,,,,,,,,,,,1.95,1.7,1.77
2010-11-14 22:03:24,1.55,1.3,1.37,,,,,,,,,,,,,,,,1.95,1.7,1.77
2010-12-03 10:54:46,1.5,1.3,1.36,,,,,,,,,,,,,,,,1.9,1.7,1.74
2010-12-07 02:56:18,1.5,1.3,1.36,,,,,,,,,,,,,,,,1.9,1.7,1.74
2010-12-21 08:19:50,1.5,1.3,1.34,,,,,,,,,,,,,,,,1.85,1.6,1.68
2011-01-08 08:26:24,1.5,1.2,1.3,,,,,,,,,,,,,,,,1.8,1.5,1.59
2011-01-14 01:42:13,1.45,1.2,1.29,,,,,,,,,,,,,,,,1.75,1.5,1.57
2011-02-01 03:47:29,1.45,1.2,1.28,,,,,,,,,,,,,,,,1.75,1.5,1.555
2011-02-01 13:37:04,1.45,1.2,1.28,,,,,,,,,,,,,,,,1.75,1.5,1.555
2011-02-09 00:22:44,1.45,1.2,1.28,,,,,,,,,,,,,,,,1.75,1.55,1.6
2011-02-24 07:39:44,1.45,1.25,1.3,,,,,,,,,,,,,,,,1.75,1.55,1.602
2011-02-25 07:03:13,1.45,1.25,1.3,,,,,,,,,,,,,,,,1.75,1.55,1.602
2011-02-26 07:50:02,1.45,1.25,1.3,,,,,,,,,,,,,,,,1.75,1.55,1.602
2011-03-16 03:42:38,1.45,1.25,1.31,,,,,,,,,,,,,,,,1.75,1.55,1.61
2011-03-16 22:39:14,1.45,1.25,1.31,,,,,,,,,,,,,,,,1.75,1.55,1.6
2011-04-03 23:46:24,1.45,1.1,1.26,,,,,,,,,,,,,,,,1.75,1.5,1.56
2011-04-05 13:43:26,1.45,1.1,1.26,,,,,,,,,,,,,,,,1.75,1.5,1.56
2011-04-11 12:39:05,1.45,1.05,1.22,,,,,,,,,,,,,,,,1.7,1.5,1.54
2011-04-17 00:34:09,1.45,1.05,1.21,,,,,,,,,,,,,,,,1.7,1.45,1.535
2011-04-24 01:00:13,1.4,1.0,1.16,,,,,,,,,,,,,,,,1.7,1.4,1.51
2011-04-24 01:41:40,1.4,1.0,1.16,,,,,,,,,,,,,,,,1.7,1.4,1.51
2011-05-01 03:05:37,1.4,0.95,1.13,,,,,,,,,,,,,,,,1.7,1.35,1.5
2011-05-04 10:58:53,1.3,0.95,1.08,,,,,,,,,,,,,,,,1.65,1.3,1.45
2011-05-05 19:09:46,1.3,0.95,1.08,,,,,,,,,,,,,,,,1.65,1.3,1.45
2011-05-11 04:37:19,1.3,0.95,1.08,,,,,,,,,,,,,,,,1.65,1.3,1.45
2011-05-13 15:04:01,1.25,0.95,1.06,,,,,,,,,,,,,,,,1.6,1.3,1.42
2011-05-14 10:58:25,1.25,0.95,1.06,,,,,,,,,,,,,,,,1.6,1.3,1.42
2011-05-18 00:42:34,1.25,0.95,1.06,,,,,,,,,,,,,,,,1.6,1.3,1.42
2011-05-24 21:50:54,1.2,0.95,1.03,,,,,,,,,,,,,,,,1.55,1.3,1.38
2011-05-24 21:55:23,1.2,0.95,1.03,,,,,,,,,,,,,,,,1.55,1.3,1.38
2011-05-30 19:18:48,1.2,0.9,1.0,,,,,,,,,,,,,,,,1.55,1.25,1.33
2011-06-01 12:45:44,1.2,0.9,0.99,,,,,,,,,,,,,,,,1.5,1.25,1.31
2011-06-04 13:52:13,1.2,0.9,0.99,,,,,,,,,,,,,,,,1.5,1.25,1.31
2011-06-12 14:55:01,1.2,0.9,0.98,,,,,,,,,,,,,,,,1.5,1.25,1.3
2011-06-12 15:46:43,1.2,0.9,0.98,,,,,,,,,,,,,,,,1.5,1.25,1.3
2011-06-17 02:20:52,1.2,0.9,0.97,,,,,,,,,,,,,,,,1.5,1.2,1.29
2011-06-22 20:50:37,1.2,0.9,0.96,,,,,,,,,,,,,,,,1.5,1.2,1.27
2011-06-23 12:33:47,1.2,0.9,0.96,,,,,,,,,,,,,,,,1.5,1.2,1.27
2011-06-27 22:13:01,1.2,0.9,0.96,,,,,,,,,,,,,,,,1.5,1.2,1.27
2011-07-02 06:06:45,1.2,0.9,0.96,,,,,,,,,,,,,,,,1.5,1.2,1.25
2011-07-02 19:41:23,1.2,0.9,0.96,,,,,,,,,,,,,,,,1.5,1.2,1.25
2011-07-03 22:44:11,1.2,0.9,0.96,,,,,,,,,,,,,,,,1.5,1.2,1.25
2011-07-03 22:44:23,1.2,0.9,0.96,,,,,,,,,,,,,,,,1.5,1.2,1.25
2011-07-10 15:27:18,1.2,0.9,0.955,,,,,,,,,,,,,,,,1.5,1.2,1.245
2011-07-12 06:10:09,1.2,0.9,0.955,,,,,,,,,,,,,,,,1.5,1.2,1.245
2011-07-12 20:47:52,1.2,0.9,0.955,,,,,,,,,,,,,,,,1.5,1.2,1.245
2011-07-18 23:46:58,1.2,0.9,0.95,,,,,,,,,,,,,,,,1.5,1.2,1.24
2011-07-20 16:16:42,1.2,0.9,0.94,,,,,,,,,,,,,,,,1.5,1.15,1.23
2011-07-21 23:12:59,1.2,0.9,0.94,,,,,,,,,,,,,,,,1.5,1.15,1.23
2011-07-28 17:36:32,1.2,0.9,0.935,,,,,,,,,,,,,,,,1.5,1.15,1.225
2011-07-31 02:28:33,1.2,0.9,0.935,,,,,,,,,,,,,,,,1.5,1.15,1.225
2011-08-02 08:08:24,1.2,0.9,0.935,,,,,,,,,,,,,,,,1.5,1.15,1.225
2011-08-07 16:22:31,1.2,0.9,0.93,,,,,,,,,,,,,,,,1.5,1.15,1.21
2011-08-09 04:46:05,1.2,0.9,0.93,,,,,,,,,,,,,,,,1.5,1.15,1.21
2011-08-14 05:55:56,1.2,0.9,0.93,,,,,,,,,,,,,,,,1.5,1.15,1.205
2011-08-18 09:20:52,1.2,0.85,0.925,,,,,,,,,,,,,,,,1.5,1.1,1.185
2011-08-19 23:49:44,1.2,0.85,0.925,,,,,,,,,,,,,,,,1.5,1.1,1.185
2011-08-25 10:08:49,1.2,0.85,0.92,,,,,,,,,,,,,,,,1.5,1.1,1.18
2011-08-25 17:05:04,1.2,0.85,0.92,,,,,,,,,,,,,,,,1.5,1.1,1.18
2011-08-29 23:53:21,1.2,0.85,0.92,,,,,,,,,,,,,,,,1.5,1.1,1.18
2011-08-31 02:26:51,1.2,0.85,0.92,,,,,,,,,,,,,,,,1.5,1.1,1.18
2011-08-31 17:05:00,1.2,0.85,0.919,,,,,,,,,,,,,,,,1.5,1.1,1.178
2011-09-02 00:38:58,1.2,0.85,0.919,,,,,,,,,,,,,,,,1.5,1.1,1.178
2011-09-23 13:16:35,1.2,0.8,0.9,,,,,,,,,,,,,,,,1.5,1.05,1.145
2011-09-23 13:16:55,1.2,0.8,0.9,,,,,,,,,,,,,,,,1.5,1.05,1.145
2011-09-26 14:41:25,1.2,0.8,0.9,,,,,,,,,,,,,,,,1.5,1.05,1.145
2011-09-29 06:18:30,1.2,0.8,0.895,,,,,,,,,,,,,,,,1.5,1.0,1.135
2011-09-29 22:08:04,1.2,0.8,0.895,,,,,,,,,,,,,,,,1.5,1.0,1.135
2011-10-02 23:24:34,1.2,0.8,0.895,,,,,,,,,,,,,,,,1.5,1.0,1.135
2011-10-04 03:55:24,1.2,0.8,0.895,,,,,,,,,,,,,,,,1.5,1.0,1.135
2011-10-05 23:11:16,1.15,0.8,0.88,,,,,,,,,,,,,,,,1.5,0.96,1.12
2011-10-07 05:27:00,1.15,0.8,0.88,,,,,,,,,,,,,,,,1.5,0.96,1.12
2011-10-08 08:55:44,1.15,0.8,0.88,,,,,,,,,,,,,,,,1.5,0.96,1.12
2011-10-09 00:32:24,1.15,0.8,0.88,,,,,,,,,,,,,,,,1.5,0.96,1.12
2011-10-11 23:32:40,1.15,0.8,0.88,,,,,,,,,,,,,,,,1.5,0.96,1.12
2011-10-12 07:19:47,1.15,0.8,0.88,,,,,,,,,,,,,,,,1.5,0.96,1.12
2011-10-12 21:04:02,1.15,0.8,0.879,,,,,,,,,,,,,,,,1.5,0.96,1.118
2011-10-15 01:47:58,1.15,0.8,0.879,,,,,,,,,,,,,,,,1.5,0.96,1.118
2011-10-17 07:47:42,1.15,0.8,0.879,,,,,,,,,,,,,,,,1.5,0.96,1.118
2011-10-18 04:31:51,1.15,0.8,0.879,,,,,,,,,,,,,,,,1.5,0.96,1.118
2011-10-21 05:09:13,1.15,0.75,0.86,,,,,,,,,,,,,,,,1.5,0.9,1.09
2011-10-22 04:17:34,1.15,0.75,0.86,,,,,,,,,,,,,,,,1.5,0.9,1.09
2011-10-24 05:59:53,1.15,0.75,0.86,,,,,,,,,,,,,,,,1.5,0.9,1.09
2011-10-26 22:24:10,1.15,0.75,0.855,,,,,,,,,,,,,,,,1.5,0.88,1.08
2011-10-28 02:00:58,1.15,0.75,0.855,,,,,,,,,,,,,,,,1.5,0.88,1.08
2011-10-31 02:18:53,1.15,0.75,0.855,,,,,,,,,,,,,,,,1.5,0.88,1.08
2011-10-31 20:14:14,1.15,0.75,0.855,,,,,,,,,,,,,,,,1.5,0.88,1.08
2011-11-03 03:15:10,1.15,0.7,0.825,,,,,,,,,,,,,,,,1.5,0.85,1.065
2011-11-05 10:36:18,1.15,0.7,0.825,,,,,,,,,,,,,,,,1.5,0.85,1.065
2011-11-06 06:06:46,1.15,0.7,0.825,,,,,,,,,,,,,,,,1.5,0.85,1.065
2011-11-09 10:58:01,1.15,0.7,0.825,,,,,,,,,,,,,,,,1.45,0.85,1.06
2011-11-10 13:41:55,1.15,0.7,0.825,,,,,,,,,,,,,,,,1.45,0.85,1.06
2011-11-13 04:52:59,1.15,0.7,0.825,,,,,,,,,,,,,,,,1.45,0.85,1.06
2011-11-15 15:25:30,1.15,0.7,0.825,,,,,,,,,,,,,,,,1.45,0.85,1.06
2011-11-16 12:42:28,1.15,0.65,0.8,,,,,,,,,,,,,,,,1.45,0.8,1.035
2011-11-20 02:55:29,1.15,0.65,0.8,,,,,,,,,,,,,,,,1.45,0.8,1.035
2011-11-20 21:27:42,1.15,0.65,0.8,,,,,,,,,,,,,,,,1.45,0.8,1.035
